Seção 1 - Notas técnicas sobre os fatores de emissão;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Na Seção 3.1, Tabela 3, os fatores de emissão de CO2 para o uso de gasolina, por tipo de veículo, só contempla as emissões da Gasolina A (pura) presente na Gasolina Comum (que também contém Etanol Anidro em sua mistura). Já os fatores de emissão de CH4 e N2O, por sua vez, levam em conta as emissões da Gasolina Comum (mistura de Gasolina A com Etanol Anidro).;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Na Seção 3.1, Tabela 3, os fatores de emissão de CO2, CH4 e N2O para o uso de óleo diesel contemplam as emissões do óleo diesel puro. As emissões da mistura de óleo Diesel que é comercializada no Brasil (composta por óleo Diesel derivado de petróleo e biodiesel, em proporções definidas pela legislação brasileira) é calculada posteriormente nas abas.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;O fator de emissão para consumo de Gás Liquefeito de Petróleo (GLP) disponibilizado nesta ferramenta é referente ao consumo de GLP em kg. O GLP em seu estado líquido possui densidade igual a 550 kg/m³. Algumas organizações podem obter o dado de consumo de GLP em m³, porém, relativo ao volume do GLP em seu estado gasoso, que possui densidade igual a 2,2 kg/m³. Ao converter os dados de consumo de GLP, deve-se atentar para essas conversões e para a característica do combustível (em estado líquido ou gasoso) que está sendo relatado.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seção 2 - Fatores de emissão para combustão estacionária;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Tabela 1. Fatores de emissão por utilização de combustíveis fósseis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nº ref.;"Combustível

";Combustível correspondente adotado pelo IPCC;Unidades;"Poder Calorífico
Inferior (PCI)";Densidade ;Referência;Fatores de Emissão;;Fatores de Emissão (unidades originais) - IPCC (2006);;;;;;;;;Fatores de Emissão (unidades convertidas);;;;;;;;;;Combustível;;;;Definição;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Referência;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;CO2 (kg/TJ);Fonte;CH4 (kg/TJ) por setor de atividade;;;;N2O (kg/TJ) por setor de atividade;;;;;CO2 (kg/un.);CH4 (kg/un.) por setor de atividade;;;;N2O (kg/un.) por setor de atividade;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;(GJ/t);(kg/unidade);;;;Energia;Manufatura ou Construção;Comercial ou Institucional;Residencial, Agricultura, Florestal ou Pesca;Energia;Manufatura ou Construção;Comercial ou Institucional;Residencial, Agricultura, Florestal ou Pesca;;;Energia;Manufatura ou Construção;Comercial ou Institucional;Residencial, Agricultura, Florestal ou Pesca;Energia;Manufatura ou Construção;Comercial ou Institucional;Residencial, Agricultura, Florestal ou Pesca;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Acetileno;-;kg;-;-;Programa Brasileiro GHG Protocol;;-;-;-;-;-;-;-;-;-;;3;-;-;-;-;-;-;-;-;;Acetileno;;;;O acetileno é um hidrocarboneto, cuja fórmula molecular é C₂H₂. Trata-se de uma gás incolor bastante utilizado em processos de solda ou corte de metais por maçarico. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FISPQ ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Alcatrão;Coal Tar;m³;35,8;1;BEN 2023;80.667;MCTIC 2016;1;10;10;300;1,5;1,5;1,5;1,5;;2.888;0,03580;0,35797;0,35797;1,073,914;0,053696;0,053696;0,053696;0,053696;;Alcatrão;;;;Alcatrão obtido na transformação do Carvão Metalúrgico em Coque.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BEN 2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Asfaltos;Bitumen;m³;41,0;1.025;BEN 2023;80.667;MCTIC 2016;3;3;10;10;0,6;0,6;0,6;0,6;;3.389;0,12604;0,12604;0,42013;0,42013;0,025208;0,025208;0,025208;0,025208;;Asfaltos;;;;Material de cor escura e consistência sólida ou semissólida derivado de petróleo, composto de mistura de hidrocarbonetos pesados, onde os constituintes predominantes são os betumes, incluindo os materiais betuminosos.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ANP 2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Carvão Metalúrgico Importado;Coking Coal;Toneladas;31,0;1;BEN 2023;94.6;MCTIC 2016;1;10;10;300;1,5;1,5;1,5;1,5;;2.931;0,03098;0,30982;0,30982;929,470;0,046473;0,046473;0,046473;0,046473;;Carvão Metalúrgico Importado;;;;Adotado o poder calorífico fornecido pela Companhia Siderúrgica Nacional – CSN, que se situa dentro da faixa dos diversos carvões metalúrgicos importados.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BEN 2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Carvão Metalúrgico Nacional;Coking Coal;Toneladas;26,9;1;BEN 2023;94.6;MCTIC 2016;1;10;10;300;1,5;1,5;1,5;1,5;;2.543;0,02688;0,26879;0,26879;806,378;0,040319;0,040319;0,040319;0,040319;;Carvão Metalúrgico Nacional;;;;Adotado o poder calorífico fornecido pela CSN.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BEN 2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;Carvão Vapor 3100 kcal / kg;Other Bituminous Coal;Toneladas;12,4;1;BEN 2023;101.2;MCTIC 2016;1;10;10;300;1,5;1,5;1,5;1,5;;1.25;0,01235;0,12351;0,12351;370,532;0,018527;0,018527;0,018527;0,018527;;Carvão Vapor 3100 kcal / kg;;;;O carvão vapor nacional é produzido nas mais diversas formas quanto às suas características físicoquímicas, apresentando teores de cinzas de 20% até 54% e múltiplas variações de teores de enxofre, voláteis, carbono fixo e outros. A análise dos carvões é feita em algumas usinas de beneficiamento equipadas com laboratórios próprios, na Fundação de Ciência e Tecnologia - CIENTEC e no Centro de Tecnologia Mineral - CETEM.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BEN 2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
